2059 4 9
2440 5 10
2304 5 10
761 1 3
3358 7 15
2325 4 10
2478 5 10
1109 2 5
1114 3 4
2888 6 12
3802 7 17
2851 5 13
2461 4 11
2429 5 11
994 1 5
3385 6 15
3406 7 14
2541 5 11
3112 6 13
705 1 3
836 2 3
357 1 2
2073 3 9
1351 3 5
2824 6 12
2486 4 11
557 1 2
3217 6 15
1627 3 7
1358 3 6
527 1 2
1358 2 6
1338 3 6
3272 6 14
3870 8 16
1362 3 6
897 1 4
1023 2 4
1618 3 7
2113 4 9
718 1 3
2697 5 12
3586 7 15
42 0 0
424 1 2
130 0 1
230 0 1
566 1 3
2560 4 12
933 1 5
2297 4 10
1856 5 8
54 0 0
963 2 4
3585 7 15
1735 4 9
2655 5 11
973 2 4
1458 3 6
2370 4 11
2533 5 11
2964 6 13
2608 5 57
2484 17 26
912 3 13
3636 20 28
2068 6 30
2849 9 20
676 1 3
939 3 4
2224 5 12
2143 5 12
3755 8 21
2512 6 18
2742 5 12
176 1 0
1460 3 7
1826 3 14
3222 7 18
1871 3 8
1627 3 7
3935 8 17
3206 6 14
3784 7 16
3851 7 18
1399 2 6
2280 5 10
2702 5 12
194 0 1
735 2 3
1638 3 7
2535 5 11
1557 3 7
1994 3 9
2177 4 10
1706 3 7
2963 6 13
2549 4 11
3882 8 16
301 1 1
2414 5 12
642 1 3
3856 7 17
856 1 4
1143 2 5
3463 6 15
3612 7 15
2878 6 12
425 1 2
679 1 3
1753 3 8
2444 4 11
297 0 2
674 1 3
2041 3 9
1314 3 5
876 2 4
73 0 0
819 2 3
611 1 3
1018 2 4
2933 6 13
113 0 0
2696 5 12
1170 2 5
3832 8 16
41 0 0
2489 5 11
686 1 3
3091 6 13
3498 6 16
2590 5 11
1991 4 9
3146 6 13
3354 6 17
3315 9 15
2652 5 12
2741 5 12
2045 3 9
3259 6 14
336 1 1
760 2 3
3193 6 14
3606 7 16
1265 2 5
182 1 0
504 1 2
3830 8 16
3776 7 22
609 1 3
1293 2 6
1998 3 9
1550 3 7
1557 3 7
1562 3 6
3628 7 16
2468 4 11
1542 3 6
2130 4 9
3241 6 14
3814 8 16
1175 2 5
602 1 3
2078 3 9
216 1 1
684 1 3
214 0 1
3993 8 17
1825 4 8
1602 5 9
3393 6 15
3760 8 16
2671 6 12
2429 5 10
28 0 0
85 0 1
2076 4 9
2787 5 14
3499 6 15
971 2 4
2288 5 9
3848 8 16
605 2 2
504 1 2
1222 3 5
2664 5 12
1707 3 8
2364 4 10
1011 2 4
2172 4 10
3490 6 15
2241 4 10
165 0 1
1543 3 6
3620 7 16
914 2 3
3592 7 16
2705 5 11
3819 8 16
1233 3 5
751 2 3
1206 2 5
976 2 4
1540 3 7
304 1 1
3423 6 15
1099 2 4
3248 7 14
1585 3 6
1649 3 7
2972 6 13
1865 3 8
2914 6 13
3076 5 13
1546 3 7
713 1 3
1547 3 7
2679 5 12
1770 3 8
3263 6 15
520 1 2
1986 3 9
290 0 2
3945 7 17
2866 5 13
2541 4 11
3246 6 14
1509 3 7
319 1 1
3871 7 17
1602 3 7
324 1 1
1133 2 5
473 1 2
3153 6 14
1088 2 4
571 2 3
1764 3 8
1902 3 8
1104 2 5
2424 5 10
3528 7 15
3601 7 16
2970 5 14
2016 3 9
1566 3 7
29 0 0
1544 3 7
1348 2 6
2089 4 10
2944 5 13
638 1 3
2410 5 11
2464 5 11
1050 2 5
682 1 3
1589 3 7
3343 6 16
609 1 2
61 1 0
1222 2 5
1759 3 8
1955 4 8
889 2 4
2147 4 9
691 1 4
3950 7 17
844 2 4
1431 3 6
1621 3 7
749 1 4
3068 6 13
537 1 3
784 1 4
2036 4 16
227 1 8
3186 6 13
3039 6 13
1854 4 8
1630 3 7
3225 6 14
3749 7 16
3924 8 17
3360 6 15
258 1 1
767 1 3
945 2 4
2956 6 13
3319 7 14
727 1 4
1412 2 7
1026 2 4
356 1 2
3002 5 14
2550 5 11
1497 3 6
2585 5 11
1516 3 7
1965 6 9
3343 6 14
76 0 1
1914 3 9
143 0 1
3197 6 23
1949 5 12
1073 2 5
427 1 2
2607 6 16
2174 6 11
430 1 3
405 1 2
2706 5 19
627 2 4
1813 5 9
3376 6 18
2094 7 10
566 1 2
37 0 0
2737 6 13
1142 2 6
2815 6 13
1995 4 12
257 1 1
2653 6 14
3937 7 22
2839 7 16
483 1 2
1356 3 7
1016 2 5
1132 3 5
2231 4 16
1842 5 15
2626 8 17
2012 4 9
638 1 4
187 0 1
3691 9 25
1651 4 8
1663 3 9
1635 4 8
2894 6 13
2354 5 14
1417 3 10
1453 3 7
2009 4 8
3263 8 15
2234 5 11
1455 2 7
304 0 2
635 1 3
2304 4 12
2257 5 10
149 1 0
3125 6 16
318 1 2
214 0 1
3110 6 17
29 0 0
1201 2 5
1081 2 5
1319 3 6
859 1 4
51 0 0
156 1 0
3362 7 14
3265 7 14
3904 7 17
3677 7 17
1644 3 8
2910 7 14
2903 9 19
3562 10 15
490 1 2
949 2 5
1283 4 11
1654 6 11
2675 5 12
2221 4 9
1403 3 6
2924 5 13
3832 7 18
3370 7 24
3879 9 20
260 0 1
3009 6 19
2620 5 19
3972 13 20
2004 4 9
1946 3 8
1782 4 8
2505 4 11
393 1 2
686 1 3
1314 3 7
2699 5 12
1590 3 7
723 1 3
1939 4 8
3038 6 13
2411 4 11
3462 6 15
2235 4 10
509 1 2
1962 4 9
3960 7 22
2494 5 11
1516 3 6
1270 2 9
938 3 8
870 2 4
59 0 1
2701 5 11
1972 4 8
2265 5 10
3118 5 14
216 0 1
556 1 3
3816 7 16
2331 4 10
3040 6 14
2213 4 9
1289 2 6
83 0 1
1955 3 8
86 1 0
711 1 3
485 1 2
775 2 3
381 1 1
1816 4 11
1952 4 10
2542 5 11
2116 4 9
1680 3 7
1111 2 5
1899 4 8
3074 6 13
789 1 4
3978 7 24
2133 4 9
1957 4 8
690 2 3
2114 4 9
2009 3 9
942 2 4
3791 7 16
1724 4 8
1364 2 6
29 0 0
1185 2 5
779 2 3
3201 6 14
1072 2 5
1886 3 8
1975 4 9
1072 2 4
3334 6 15
2868 5 12
2154 4 10
2296 4 10
169 1 1
826 1 4
1677 3 7
3630 7 19
651 2 3
2599 5 12
3310 6 14
694 1 3
687 2 3
2081 3 10
2117 4 9
250 0 1
2668 5 12
1529 3 6
2680 5 12
3865 7 17
1422 2 6
406 1 2
827 1 4
2817 5 12
3517 7 15
3727 7 16
667 2 2
1088 2 5
3682 7 16
3965 8 17
1341 2 6
1687 3 7
2022 4 9
3663 7 15
2722 5 12
2065 4 9
1310 2 6
416 1 1
1903 4 8
1874 4 8
1125 2 5
3942 8 17
746 2 3
3763 7 20
424 1 2
3532 6 16
807 1 4
269 0 1
1319 3 5
1603 3 7
3908 8 16
308 1 1
3482 7 14
1013 2 5
1137 2 4
2631 5 15
115 0 1
